SiteName,SiteNameOrig,SiteCode,LocationOrig,LocationLong,Location,Latitude,Longitude,Elevation,DateTimeStart,DateTimeEnd,Comment,URIofevent
Carpentras,Carpentras,CAR,France,France,France,44.083,5.059,100,01.08.96,,"BSRN station no: 10; Surface type: cultivated; Topography type: hilly, rural; Station scientist: Thierry Duprat (thierry.duprat@meteo.fr)",
Chesapeake Light,Chesapeake Light,CLH,North Atlantic Ocean,North Atlantic Ocean,"North Atlantic Ocean, USA",36.905,-75.713,37,01.06.00,31.12.17,"BSRN station no: 39; Surface type: water, ocean; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669513; Station scientist: Fred M. Denn (Frederick.M.Denn@nasa.gov) ** Inactive, structural issues **",Link
Cener,Cener,CNR,"Spain, Sarriguren, Navarra","Spain, Sarriguren, Navarra",Spain,42.816,-1.601,471,01.07.09,,"BSRN station no: 45; Surface type: asphalt; Topography type: mountain valley, urban; Station scientist: Xabier Olano (xolano@cener.com)",Link
Cocos Island,Cocos Island,COC,Cocos (Keeling) Islands,Cocos (Keeling) Islands,Cocos Islands,-12.193,96.835,6,14.09.04,,"BSRN station no: 47; Surface type: grass; Topography type: flat, rural; Station scientist: Matt Tully (m.tully@bom.gov.au)",
De Aar,De Aar,DAA,South Africa,South Africa,South Africa,-30.6667,23.993,1287,01.05.00,,"BSRN station no: 40; Surface type: sand; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669514; Station scientist: Lucky Ntsangwane (lucky.ntsangwane@weathersa.co.za)",
Darwin,Darwin,DAR,Australia,Australia,Australia,-12.425,130.891,30,01.06.02,31.01.15,"BSRN station no: 2; Surface type: grass; Topography type: flat, rural; Latest station scientist: Charles Long (chuck.long@noaa.gov). ** Station closed January 2015 **",
"Concordia Station, Dome C","Concordia Station, Dome C",DOM,Antarctica,Antarctica,Antarctica,-75.1,123.383,3233,01.01.06,,"BSRN station no: 74; Surface type: glacier, accumulation area; Topography type: flat, rural; Station scientist: Angelo Lupi (a.lupi@isac.cnr.it)",Link
Dongsha Atoll,Dongsha Atoll,DON,Taiwan,Taiwan,Taiwan,20.7,116.73,,,,BSRN Candidate. Station no: 55; Station scientist: Carlo Wang (carlo@cc.ncu.edu.tw),
Desert Rock,Desert Rock,DRA,"Nevada, United States of America","Nevada, USA","Nevada, USA",36.626,-116.018,1007,01.02.98,,"BSRN station no: 35; Surface type: desert, gravel; Topography type: flat, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)",Link
Darwin,Darwin Met Office,DWN,Australia,Australia,Australia,-12.424,130.8925,32,01.04.08,,"BSRN station no: 65; Surface type: grass; Topography type: flat, rural; Station scientist: Matt Tully (m.tully@bom.gov.au)",
Southern Great Plains,Southern Great Plains,E13,"Oklahoma, United States of America","Oklahoma, USA","Oklahoma, USA",36.605,-97.485,318,01.08.97,,"BSRN station no: 27; Surface type: grass; Topography type: flat, rural; Station scientist: Charles Long (chuck.long@noaa.gov)",Link
Eastern North Atlantic,Eastern North Atlantic,ENA,Azores,Azores,Azores,39.0911,-28.0292,15.2,28.09.13,,BSRN station no: 77; Surface Type: grass; Topography type: hilly/rural; Horizon: doi:10.1594/PANGAEA.xxxxx; Station scientist: Charles Long (chuck.long@noaa.gov),
Eureka,Eureka,EUR,"Ellesmere Island, Canadian Arctic Archipelago","Ellesmere Island, Canadian Arctic Archipelago",Canada,79.989,-85.9404,85,01.09.07,31.12.11,"BSRN station no: 19; Surface type: tundra; Topography type: hilly, rural. ** Station inactive end of 2011, being revitalized **",Link
Florianopolis,Florianopolis,FLO,South Atlantic Ocean,South Atlantic Ocean,Brazil,-27.6047,-48.5227,11,01.06.94,,"BSRN station no: 3; Surface type: concrete; Topography type: mountain valley, urban; Horizon: doi:10.1594/PANGAEA.669515; Station scientist: Sergio Colle (sergio.colle@ufsc.br)",
Fort Peck,Fort Peck,FPE,"Montana, United States of America","Montana, USA","Montana, USA",48.3167,-105.1,634,01.01.95,,"BSRN station no: 31; Surface type: grass; Topography type: flat, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)",Link
Fukuoka,Fukuoka,FUA,Japan,Japan,Japan,33.5822,130.3764,3,01.04.10,,"BSRN station no: 6; Surface type: asphalt; Topography type: flat, urban; Horizon from 2010 to 2014-12: doi:10.1594/PANGAEA.743875; Horizon after 2014-12: doi:10.1594/PANGAEA.845396; Station scientist: Masao Omori (rrc-jma@met.kishou.go.jp)",http://hdl.handle.net/10013/epic.44630.d041
Gandhinagar,Gandhinagar,GAN,India,India,India,23.1101,72.6276,65,19.05.14,,"BSRN Candidate. Station no: 58; Plain terrain, Soil type: Riverine Alluvial soil,Station scientist: Karthik Ramanathan (karthik.niwe@nic.in)",
Goodwin Creek,Goodwin Creek,GCR,"Mississippi, United States of America","Mississippi, USA","Mississippi, USA",34.2547,-89.8729,98,01.01.95,,"BSRN station no: 33; Surface type: grass; Topography type: hilly, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)",Link
Granite Island,Granite Island,GIM,"Michigan, United States","Michigan, United States","Michigan, USA",46.721,87.411,208,,,BSRN Candidate. Station scientist: Bryan Fabbri (bryan.e.fabbri@nasa.gov),
Gobabeb,Gobabeb,GOB,"Namib Desert, Namibia","Namib Desert, Namibia",Namibia,-23.5614,15.042,407,15.05.12,,BSRN station no: 20; Surface Type: desert gravel; Topography type: flat rural; Station scientist: Roland Vogt (Roland.Vogt@unibas.ch),
Gurgaon,Gurgaon,GUR,India,India,India,28.4249,77.156,259,21.04.14,,"BSRN Candidate. Station no: 56; Plain terrain, Soil : Medium black soil, Station scientist: Karthik Ramanathan (karthik.niwe@nic.in)",
Georg von Neumayer,Georg von Neumayer,GVN,"Dronning Maud Land, Antarctica","Dronning Maud Land, Antarctica",Antarctica,-70.65,-8.25,42,01.01.92,,"BSRN station no: 13; Surface type: iceshelf; Topography type: flat, rural; Horizon from 1992 to 2009-01: doi:10.1594/PANGAEA.669516; Horizon after 2009-01: doi:10.1594/PANGAEA.757811; Station scientist: Holger Schmithüsen (Holger.Schmithuesen@awi.de). Station description see hdl:10013/epic.28566.d001",Link
Howrah,Howrah,HOW,India,India,India,22.5535,88.3064,51,15.06.14,,"BSRN Candidate. Station no: 57; Plain terrain, Soil : Riverine Alluvial soil, Station scientist: Karthik Ramanathan (karthik.niwe@nic.in)",
Ilorin,Ilorin,ILO,Nigeria,Nigeria,Nigeria,8.5333,4.5667,350,01.08.92,31.07.05,"BSRN station no: 38; Surface type: shrub; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669517; Latest station scientist: T O Aro. ** Inactive as of mid-2005, seeking funding **",
Ishigakijima,Ishigakijima,ISH,Japan,Japan,Japan,24.3367,124.1644,5.7,01.04.10,,"BSRN station no: 7; Surface type: asphalt; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.743878; Station scientist: Masao Omori (rrc-jma@met.kishou.go.jp)",http://hdl.handle.net/10013/epic.44630.d026
Izana,Izaña,IZA,"Tenerife, Spain","Tenerife, Spain","Tenerife, Spain",28.3093,-16.4993,2372.9,01.03.09,,"BSRN station no: 61; Surface type: rock; Topography type: mountain top, rural; Station scientist: Emilio Cuevas-Agulló (ecuevasa@aemet.es)",Link
Kwajalein,Kwajalein,KWA,North Pacific Ocean,North Pacific Ocean,North Pacific Ocean,8.72,167.731,10,01.03.92,,"BSRN station no: 25; Surface type: water, ocean; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669518; Station scientist: Sara Morris (Sara.Morris@noaa.gov)",Link
Lauder,Lauder,LAU,New Zealand,New Zealand,New Zealand,-45.045,169.689,350,01.07.98,,"BSRN station no: 60; Surface type: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669519; Station scientist: Matt Tully (m.tully@bom.gov.au)",Link
Lerwick,Lerwick,LER,"Shetland Island, United Kingdom","Shetland Island, United Kingdom","Shetland Island, UK",60.1389,-1.1847,80,01.01.01,,"BSRN station no: 51; Surface type: grass; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.669520; Station scientist: Jonathan Tamlyn (jonathan.tamlyn@metoffice.gov.uk)",http://hdl.handle.net/10013/epic.43134.d001
Lindenberg,Lindenberg,LIN,Germany,Germany,Germany,52.21,14.122,125,01.09.94,,"BSRN station no: 12; Surface type: cultivated; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.669521; Station scientist: Stefan Wacker (Stefan.Wacker@dwd.de)",Link
Lulin,Lulin,LLN,Taiwan,Taiwan,Taiwan,23.4686,120.8736,2862,20.01.09,,"BSRN Candidate. Station no: 54; Surface type: Mixed forest; Topography type: mountain top, rural; Station scientist: Carlo Wang (carlo@cc.ncu.edu.tw)",Link
Langley Research Center,Langley Research Center,LRC,"Hampton, Virginia, USA","Hampton, Virginia, USA","Virginia, USA",37.1038,-76.3872,3,01.12.14,,"BSRN station no: 49; Surface type: grass; Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.842549; Station scientist: Fred M. Denn (Frederick.M.Denn@nasa.gov)",Link
Lanyu,Lanyu Station,LYU,Taiwan,Taiwan,Taiwan,22.037,121.5583,324,,,BSRN Candidate. Station scientist: Kun-Wei Lin (adenins@cwb.gov.tw),
Momote,Momote,MAN,Papua New Guinea,Papua New Guinea,Papua New Guinea,-2.058,147.425,6,01.09.96,31.10.13,"BSRN station no: 29; Surface type: grass; Topography type: flat, rural; Latest station scientist: Charles Long (chuck.long@noaa.gov). ** Station closed late 2013 **",
Minamitorishima,Minamitorishima,MNM,Minami-Torishima,Minami-Torishima,Japan,24.2883,153.9833,7.1,01.04.10,,"BSRN station no: 8; Surface type: water (ocean); Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.743879; Station scientist: Masao Omori (rrc-jma@met.kishou.go.jp)",http://hdl.handle.net/10013/epic.44630.d003
Nauru Island,Nauru Island,NAU,Nauru,Nauru,Nauru,-0.521,166.9167,7,01.11.98,30.09.13,"BSRN station no: 30; Surface type: rock; Topography type: flat, rural; Latest station scientist: Charles Long (chuck.long@noaa.gov). ** Station closed late 2013 **",
Newcastle,Newcastle,NEW,Australia,Australia,Australia,-32.8842,151.7289,18.5,,,BSRN Candidate. Station no: 52; Station scientist: Ben Duck (Benjamin.Duck@csiro.au),
Ny-Alesund,Ny-Ålesund,NYA,"Ny-Ålesund, Spitsbergen","Ny-Ålesund, Spitsbergen",Spitsbergen,78.925,11.93,11,01.08.92,,"BSRN station no: 11; Surface type: tundra; Topography type: mountain valley, rural; Horizon: doi:10.1594/PANGAEA.669522; Station scientist: Marion.Maturilli@awi.de",Link
Huancayo,Observatory of Huancayo,OHY,Peru,Peru,Peru,-12.05,-75.32,3314,,,BSRN Candidate. Station scientist: Luis Suarez Salas (lsuarez@igp.gob.pe),
Palaiseau,"Palaiseau, SIRTA Observatory",PAL,France,France,France,48.713,2.208,156,01.05.03,,"BSRN station no: 63; Surface type: concrete; Topography type: flat, urban; Station scientist: Jordi Badosa (jordi.badosa@lmd.polytechnique.fr)",
Paramaribo,Paramaribo,PAR,"South America, Surinam","South America, Surinam",Surinam,5.806,-55.2146,4,,,BSRN Candidate. Station scientist: Ankie Piters (piters@knmi.nl),
Payerne,Payerne,PAY,Switzerland,Switzerland,Switzerland,46.815,6.944,491,01.09.92,,"BSRN station no: 21; Surface type: cultivated; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.669523; Station scientist: Laurent Vuilleumier (laurent.vuilleumier@meteoswiss.ch)",
Rock Springs,Rock Springs,PSU,"Pennsylvania, United States of America","Pennsylvania, USA","Pennsylvania, USA",40.72,-77.9333,376,01.05.98,,"BSRN station no: 36; Surface type: cultivated; Topography type: mountain valley, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)",
Petrolina,Petrolina,PTR,Brazil,Brazil,Brazil,-9.068,-40.319,387,01.12.06,,"BSRN station no: 72; Surface type: concrete, since 2015: shrub; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.695900; Station scientist: Enio Bueno Pereira (enio.pereira@inpe.br)",
Regina,Regina,REG,Canada,Canada,Canada,50.205,-104.713,578,01.01.95,31.12.11,"BSRN station no: 5; Surface type: cultivated; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669524; ** Station closed end of 2011 **",
Rolim de Moura,Rolim de Moura,RLM,Brazil,Brazil,Brazil,-11.582,-61.773,252,01.01.07,31.12.07,"BSRN station no: 73; Surface type: concrete; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.695901; Latest station scientist: Enio Bueno Pereira (enio.pereira@inpe.br). ** Station closed 2008 **",
"Reunion Island, University","Reunion Island, University",RUN,Reunion,Reunion,Reunion,-20.9014,55.4836,116,,,BSRN Candidate. Station scientist: B_rice Morel (beatrice.morel@univ-reunion.fr),
Sapporo,Sapporo,SAP,Japan,Japan,Japan,43.06,141.3286,17.2,01.04.10,,"BSRN station no: 4; Surface type: asphalt; Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.743878; Station scientist: Masao Omori (rrc-jma@met.kishou.go.jp)",http://hdl.handle.net/10013/epic.44630.d028
Sede Boqer,Sede Boqer,SBO,Israel,Israel,Israel,30.8597,34.7794,500,01.01.03,,"BSRN station no: 43; Surface type: desert rock; Topography type: hilly, rural; Station scientist: Dr. Nurit Agam (agam@bgu.ac.il). ** Station closed 2012 **",
Selegua,"Selegua, Mexico Solarimetric Station",SEL,Mexico,Mexico,Mexico,15.784,-91.9902,602,,,BSRN Candidate. Station scientist: Roberto Bonifaz (bonifaz@unam.mx),
Sao Martinho da Serra,São Martinho da Serra,SMS,Brazil,Brazil,Brazil,-29.4428,-53.8231,489,01.01.06,,"BSRN station no: 70; Surface type: concrete, since 2015: grass; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.693871; Station scientist: Enio Bueno Pereira (enio.pereira@inpe.br)",
Sonnblick,Sonnblick,SON,Austria,Austria,Austria,47.054,12.9577,3108.9,01.01.13,,"BSRN station no: 75; Surface Type: rock; Topography type: mountain top, rural; Horizon: doi:10.1594/PANGAEA.808997; Station scientist: Marc Olefs (marc.olefs@zamg.ac.at)",Link
Solar Village,Solar Village,SOV,Saudi Arabia,Saudi Arabia,Saudi Arabia,24.91,46.41,650,01.08.98,,"BSRN station no: 41; Surface type: desert, sand; Topography type: flat, rural; ** Station closed/no longer maintained **",
South Pole,South Pole,SPO,Antarctica,Antarctica,Antarctica,-89.983,-24.799,2800,01.01.92,,"BSRN station no: 26; Surface type: glacier, accumulation area; Topography type: flat, rural; Station scientist: Sara Morris (Sara.Morris@noaa.gov)",Link
Sioux Falls,Sioux Falls,SXF,"South Dakota, United States of America","South Dakota, USA","South Dakota, USA",43.73,-96.62,473,01.06.03,,"BSRN station no: 37; Surface type: grass; Topography type: hilly, rural; Station scientist: John A. Augustine (john.a.augustine@noaa.gov)",Link
Syowa,Syowa,SYO,Cosmonaut Sea,Cosmonaut Sea,Antarctica,-69.005,39.589,18,01.01.94,,"BSRN station no: 17; Surface type: sea ice; Topography type: hilly, rural; Horizon: doi:10.1594/PANGAEA.669525; Station scientist: Hiroyuki Ogihara (antarctic@met.kishou.go.jp)",Link
Tamanrasset,Tamanrasset,TAM,Algeria,Algeria,Algeria,22.7903,5.5292,1385,01.03.00,,"BSRN station no: 42; Surface type: desert, rock; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669526; Station scientist: Sidi BAIKA (s.baika@meteo.dz)",
Tateno,Tateno,TAT,Japan,Japan,Japan,36.0581,140.1258,25,01.02.96,,"BSRN station no: 16; Surface type: grass; Topography type: flat, urban; Horizon: doi:10.1594/PANGAEA.669527; Station scientist: Osamu Ijima (ijima@met.kishou.go.jp)",http://hdl.handle.net/10013/epic.44630.d027
Tiksi,Tiksi,TIK,"Siberia, Russia","Siberia, Russia","Siberia, Russia",71.5862,128.9188,48,08.06.10,,"BSRN station no: 48; Surface type: tundra; Topography type: flat, rural; Station scientist: Vasilii Kustov (kustov@aari.ru)",Link
Tiruvallur,Tiruvallur,TIR,India,India,India,13.0923,79.9738,36,16.04.14,,"BSRN Station no: 59; Plain terrain, Soil: Red soil, Station scientist: Karthik Ramanathan (karthik.niwe@nic.in)",
Toravere,Toravere,TOR,Estonia,Estonia,Estonia,58.254,26.462,70,01.01.99,,"BSRN station no: 9; Surface type: grass; Topography type: flat, rural; Horizon from 1999 to 2001-06: doi:10.1594/PANGAEA.671374; Horizon after 2001-06: doi:10.1594/PANGAEA.671373; Station scientist: Ain Kallis (kallis@aai.ee)",Link
Xianghe,Xianghe,XIA,China,China,China,39.754,116.962,32,01.01.05,,"BSRN station no: 44; Surface type: desert, rock; Topography type: flat, rural; Horizon: doi:10.1594/PANGAEA.669528; Station scientist: Xiangao Xia (xxa@mail.iap.ac.cn) ** Stopped being part of BSRN in 2016, station obstructed **",
Yushan Station,Yushan Station,YUS,Taiwan,Taiwan,Taiwan,23.4876,120.9595,3858,,,BSRN Candidate. Station scientist: Kun-Wei Lin (adenins@cwb.gov.tw),
